,3P,3PA,3PPct,AST,BLK,Date,FG,FGA,FGPct,FT,FTA,FTPct,ORB,Opp,Opp3P,Opp3PA,Opp3PPct,OppAST,OppBLK,OppFG,OppFGA,OppFGPct,OppFT,OppFTA,OppFTPct,OppORB,OppPF,OppPts,OppSTL,OppTOV,OppTRB,PF,Result,STL,Season,TOV,TRB,Team,TmPts,loc,OppLC
101603,5.0,22.0,0.22699999999999998,8.0,4.0,2020-01-18,27.0,58.0,0.466,8.0,16.0,0.5,6.0,Gardner-Webb,7.0,16.0,0.43799999999999994,13.0,4.0,28.0,54.0,0.519,20.0,29.0,0.69,9.0,16.0,83.0,5.0,11.0,37.0,20.0,L,6.0,2020,9.0,30.0,south-carolina-upstate,67.0,@,gardner-webb
101604,8.0,20.0,0.4,10.0,2.0,2020-01-20,23.0,51.0,0.451,8.0,14.0,0.5710000000000001,8.0,High Point,10.0,21.0,0.47600000000000003,11.0,3.0,21.0,45.0,0.467,18.0,25.0,0.72,9.0,18.0,70.0,4.0,10.0,30.0,20.0,L,4.0,2020,11.0,26.0,south-carolina-upstate,62.0,,high-point
101605,5.0,13.0,0.385,7.0,1.0,2020-01-23,17.0,44.0,0.386,14.0,24.0,0.583,6.0,Winthrop,9.0,28.0,0.321,18.0,4.0,28.0,60.0,0.467,14.0,18.0,0.778,15.0,21.0,79.0,8.0,12.0,38.0,19.0,L,5.0,2020,18.0,25.0,south-carolina-upstate,53.0,@,winthrop
101606,7.0,16.0,0.43799999999999994,20.0,3.0,2020-01-25,27.0,54.0,0.5,19.0,24.0,0.792,5.0,UNC Asheville,4.0,14.0,0.28600000000000003,5.0,2.0,22.0,59.0,0.373,15.0,17.0,0.882,8.0,18.0,63.0,4.0,10.0,27.0,17.0,W,5.0,2020,9.0,32.0,south-carolina-upstate,80.0,,north-carolina-asheville
101607,9.0,18.0,0.5,11.0,1.0,2020-01-30,29.0,49.0,0.5920000000000001,10.0,17.0,0.588,2.0,Presbyterian,6.0,19.0,0.316,8.0,3.0,26.0,52.0,0.5,16.0,22.0,0.727,14.0,16.0,74.0,4.0,15.0,33.0,21.0,W,7.0,2020,8.0,16.0,south-carolina-upstate,77.0,@,presbyterian
101608,7.0,19.0,0.368,18.0,3.0,2020-02-01,34.0,66.0,0.515,16.0,20.0,0.8,11.0,Campbell,9.0,21.0,0.429,12.0,3.0,23.0,51.0,0.451,19.0,25.0,0.76,5.0,18.0,74.0,6.0,17.0,25.0,17.0,W,10.0,2020,9.0,36.0,south-carolina-upstate,91.0,,campbell
101609,3.0,16.0,0.188,9.0,2.0,2020-02-06,24.0,53.0,0.45299999999999996,20.0,29.0,0.69,5.0,UNC Asheville,7.0,25.0,0.28,9.0,3.0,29.0,58.0,0.5,19.0,28.0,0.679,8.0,22.0,84.0,7.0,10.0,32.0,24.0,L,4.0,2020,12.0,28.0,south-carolina-upstate,71.0,@,north-carolina-asheville
101610,3.0,17.0,0.17600000000000002,8.0,3.0,2020-02-08,18.0,61.0,0.295,18.0,22.0,0.818,15.0,Gardner-Webb,8.0,20.0,0.4,12.0,3.0,35.0,62.0,0.565,10.0,13.0,0.769,10.0,16.0,88.0,9.0,12.0,36.0,16.0,L,4.0,2020,15.0,33.0,south-carolina-upstate,57.0,,gardner-webb
101611,7.0,22.0,0.318,12.0,3.0,2020-02-10,23.0,55.0,0.418,13.0,20.0,0.65,6.0,Charleston Southern,4.0,28.0,0.14300000000000002,7.0,3.0,21.0,62.0,0.33899999999999997,6.0,8.0,0.75,4.0,16.0,52.0,5.0,8.0,28.0,11.0,W,6.0,2020,12.0,42.0,south-carolina-upstate,66.0,,charleston-southern
101612,4.0,23.0,0.174,11.0,4.0,2020-02-15,21.0,61.0,0.344,8.0,14.0,0.5710000000000001,12.0,High Point,4.0,13.0,0.308,9.0,5.0,18.0,46.0,0.391,22.0,30.0,0.733,6.0,19.0,62.0,3.0,16.0,38.0,26.0,L,7.0,2020,15.0,36.0,south-carolina-upstate,54.0,@,high-point
101613,7.0,23.0,0.304,14.0,3.0,2020-02-20,20.0,63.0,0.317,11.0,17.0,0.647,6.0,Longwood,8.0,25.0,0.32,11.0,2.0,23.0,54.0,0.426,14.0,20.0,0.7,7.0,16.0,68.0,2.0,10.0,41.0,19.0,L,6.0,2020,5.0,28.0,south-carolina-upstate,58.0,,longwood
